user,handle,timestamp,text,mentions,source,query,data_type,stock_symbol,sentiment_score,sentiment_category,transformer_sentiment,transformer_score,vader_sentiment,flair_sentiment,flair_score,analysis_timestamp
Drew Springer,@drewspr00,2025-09-04T04:52:19.000Z,"And we’ll ignore the irony of a Tesla guy talking about moving goalposts. But Elon is the KING of showing off unreleased products trying to generate excitement. It’s not a stretch to say that enthusiasm results in stock purchases that increase the stock value, but still.",,Twitter,Tesla stock,tweet,TSLA,0.4464514528942109,POSITIVE,POSITIVE,0.9683085680007935,0.9239,NEGATIVE,0.7268065810203552,2025-09-04T10:22:58.041256
Investing.com India ,@investing_ind,2025-09-04T04:52:10.000Z,Tesla says Robotaxi app open to public users,,Twitter,Tesla stock,tweet,TSLA,0.6690053045749664,POSITIVE,POSITIVE,0.9926371574401855,0.0,POSITIVE,0.9065014719963074,2025-09-04T10:22:58.041256
Late Stage Capitalism,@GlobalCollapse,2025-09-04T04:52:07.000Z,Uh... Is this right?  All of the people who gave $TSLA an interest free $50k loan as a deposit for the Roadster 2 would have had 10 MILLION dollars if they had put it in Tesla stock instead.,,Twitter,Tesla stock,tweet,TSLA,-0.47649473867416386,NEGATIVE,NEGATIVE,0.9989173412322998,0.743,NEGATIVE,0.999426007270813,2025-09-04T10:22:58.041256
CFD SWISS,@cfdswiss,2025-09-04T04:48:05.000Z,"Dow Jones Futures: Google, Apple, Tesla Lead Market; Nvidia, Palantir Hit Resistance http://dlvr.it/TMsTWR #forex #XRP #gold",,Twitter,Tesla stock,tweet,TSLA,-0.5607962429523468,NEGATIVE,NEGATIVE,0.9714562296867371,0.0,NEGATIVE,0.5740458369255066,2025-09-04T10:22:58.041256
CJStreet,@CJStreet_626,2025-09-04T04:47:52.000Z,"Lucid Group has dramatically underperformed in 2025, with the stock sliding further year-to-date while broader EV peers like Tesla and even Rivian have seen periods of recovery. At a market capitalization of just around $5 billion, Lucid trades at a fraction of Tesla’s valuation",,Twitter,Tesla stock,tweet,TSLA,-0.08864695276260379,NEUTRAL,NEGATIVE,0.9669122695922852,0.3612,POSITIVE,0.6325265169143677,2025-09-04T10:22:58.041256
strengthPlan,@strengthPlan,2025-09-04T04:45:56.000Z,Robotaxi app teaches you not to give up like Tesla stock going down -50% every other year  #tsla,,Twitter,Tesla stock,tweet,TSLA,0.02507077013015746,NEUTRAL,NEGATIVE,0.9572225213050842,0.3612,POSITIVE,0.9986659288406372,2025-09-04T10:22:58.041256
Drew Springer,@drewspr00,2025-09-04T04:40:49.000Z,"They fund by selling a dream. Look at every automotive stock out there, it’s obvious Tesla’s value is about more than cars. You Tesla bros/bots like to come at me hard, but I own a model 3. It’s an incredible car. Elon’s ego just won’t let the product sell itself.",,Twitter,Tesla stock,tweet,TSLA,0.7809737601661682,POSITIVE,POSITIVE,0.9969884753227234,0.4118,POSITIVE,0.8621279001235962,2025-09-04T10:22:58.041256
PROSPER ,@ikenna07073,2025-09-04T04:17:32.000Z,I really wish I had Tesla stock right now. Robotaxi will make Elon Musk a trillionaire. Bookmark this post.,,Twitter,Tesla stock,tweet,TSLA,0.04060859754562374,NEUTRAL,NEGATIVE,0.9911575317382812,0.4576,POSITIVE,0.9993053674697876,2025-09-04T10:22:58.041256
strengthPlan,@strengthPlan,2025-09-04T04:15:27.000Z,My birthday I wanted Tesla stock $420 but I got robotaxi wait list this is a win #tsla,,Twitter,Tesla stock,tweet,TSLA,0.126674505739212,NEUTRAL,NEGATIVE,0.9811487793922424,0.7351,POSITIVE,0.99534672498703,2025-09-04T10:22:58.041256
George Orwell,@OrwellsRevenge,2025-09-04T04:14:00.000Z,"Korea's Momentum Traders Sour On Tesla, Turn To Crypto

Korean retail investors dumped $657 million of Tesla stock in August, as they pivoted to crypto instead.",,Twitter,Tesla stock,tweet,TSLA,-0.8203934450817107,NEGATIVE,NEGATIVE,0.9997239708900452,-0.4019,NEGATIVE,0.9997795224189758,2025-09-04T10:22:58.041256
