user,handle,timestamp,text,mentions,source,query
Drew Springer,@drewspr00,2025-09-04T04:52:19.000Z,"And we’ll ignore the irony of a Tesla guy talking about moving goalposts. But Elon is the KING of showing off unreleased products trying to generate excitement. It’s not a stretch to say that enthusiasm results in stock purchases that increase the stock value, but still.",,Twitter,Tesla stock
Investing.com India ,@investing_ind,2025-09-04T04:52:10.000Z,Tesla says Robotaxi app open to public users,,Twitter,Tesla stock
Late Stage Capitalism,@GlobalCollapse,2025-09-04T04:52:07.000Z,Uh... Is this right?  All of the people who gave $TSLA an interest free $50k loan as a deposit for the Roadster 2 would have had 10 MILLION dollars if they had put it in Tesla stock instead.,,Twitter,Tesla stock
CFD SWISS,@cfdswiss,2025-09-04T04:48:05.000Z,"Dow Jones Futures: Google, Apple, Tesla Lead Market; Nvidia, Palantir Hit Resistance http://dlvr.it/TMsTWR #forex #XRP #gold",,Twitter,Tesla stock
CJStreet,@CJStreet_626,2025-09-04T04:47:52.000Z,"Lucid Group has dramatically underperformed in 2025, with the stock sliding further year-to-date while broader EV peers like Tesla and even Rivian have seen periods of recovery. At a market capitalization of just around $5 billion, Lucid trades at a fraction of Tesla’s valuation",,Twitter,Tesla stock
strengthPlan,@strengthPlan,2025-09-04T04:45:56.000Z,Robotaxi app teaches you not to give up like Tesla stock going down -50% every other year  #tsla,,Twitter,Tesla stock
Drew Springer,@drewspr00,2025-09-04T04:40:49.000Z,"They fund by selling a dream. Look at every automotive stock out there, it’s obvious Tesla’s value is about more than cars. You Tesla bros/bots like to come at me hard, but I own a model 3. It’s an incredible car. Elon’s ego just won’t let the product sell itself.",,Twitter,Tesla stock
PROSPER ,@ikenna07073,2025-09-04T04:17:32.000Z,I really wish I had Tesla stock right now. Robotaxi will make Elon Musk a trillionaire. Bookmark this post.,,Twitter,Tesla stock
strengthPlan,@strengthPlan,2025-09-04T04:15:27.000Z,My birthday I wanted Tesla stock $420 but I got robotaxi wait list this is a win #tsla,,Twitter,Tesla stock
George Orwell,@OrwellsRevenge,2025-09-04T04:14:00.000Z,"Korea's Momentum Traders Sour On Tesla, Turn To Crypto

Korean retail investors dumped $657 million of Tesla stock in August, as they pivoted to crypto instead.",,Twitter,Tesla stock
Lil Angel,@CLAngelillo,2025-09-04T04:11:07.000Z,"OK how is this one for you... I worked at Mercedes for 5 years...

You couldn't pay me to own a Mercedes...

And I don't own Tesla stock either...

You are very welcome for such an unbiased opinion on the autonomy of Mercedes and Tesla...

Have a great night ",,Twitter,Tesla stock
Jonas Jardfelt,@JJardfelt,2025-09-04T04:08:38.000Z,Why are you so desperate? Put all your money into Tesla stock with huge losses?,,Twitter,Tesla stock
Ran Zhang,@rikiwahyuabdil2,2025-09-04T04:03:44.000Z,"Haha, I agree, but what if I lose money?
I've lost money on Tesla stock before.",,Twitter,Tesla stock
Prakash (Ate-a-Pi),@8teAPi,2025-09-04T03:56:28.000Z,"If they launch in the Bay Area, Tesla stock price will double.",,Twitter,Tesla stock
DJ Cre8or,@djcre8or,2025-09-04T03:56:26.000Z,"Ha? I just did a 4000 miles trip on Tesla’s FSD, the most “despicable stock”. I don’t know about you, but for me it worths every penny. You can watch my road trip and decide for yourself ",,Twitter,Tesla stock
Bishop,@BishopFromArk,2025-09-04T03:56:24.000Z,Tesla stock was pretty great,,Twitter,Tesla stock
FinXKing,@ronjonbSaaS,2025-09-04T03:49:31.000Z,"BREAKING 

I just downloaded the Tesla $TSLA Robotaxi App…

And Yes, I’m in Seattle 

$TSLA will be a $500 stock soon 

Like and Repost ",,Twitter,Tesla stock
strengthPlan,@strengthPlan,2025-09-04T03:46:39.000Z,"I got robotaxi app but I am looking for FSD unsupervised lol

We want Tesla stock $1000 but we got $330

We want affordable Tesla and we got Model Y L only in China

We don’t get exactly what we want sometimes lol #tsla",,Twitter,Tesla stock
TwistedTexasTornado,@TxShadowpatriot,2025-09-04T03:43:24.000Z,"Absolutely.  Musk/Tesla builds them. Magapacks.  Where are all of them at?  Are all the solar and wind farms already stocked up?  Because my Tesla stock needs a bump.  We are years away from building out that capacity and by then, the solar panels will be past their life.",,Twitter,Tesla stock
Jax,@relaxjaxx,2025-09-04T03:39:46.000Z,Nah we paying that much for robotaxi but as soon as tesla stock break 600 end of this year early next year we selling ,,Twitter,Tesla stock
TNoser,@t_noser,2025-09-04T03:37:11.000Z,"No, I would buy stock in Tesla, all in.",,Twitter,Tesla stock
Daniel,@Steveiology101,2025-09-04T03:32:01.000Z,"This is such a joke. Just like in the auto industry 
@Tesla
 is light years behind the competition. Fanboys out here just pumping the stock like their life depends on it. Wild.",@Tesla,Twitter,Tesla stock
Grok,@grok,2025-09-04T03:25:57.000Z,"Yeah, Tesla's growth has been wild—hindsight makes that deposit look like a missed rocket ship! If you're curious, the stock split 5:1 in 2020 and 3:1 in 2022, but the adjusted calc holds. ",,Twitter,Tesla stock
Tim,@TimGrimmett2,2025-09-04T03:19:24.000Z,"Yes, Elon was a great asset when he was on the Trump team.  I still have my Tesla stock even though electric vehicles are now a choice under Trump and not a mandate as they were under Biden and Newsoum. It's still a great product.",,Twitter,Tesla stock
Grok,@grok,2025-09-04T03:17:44.000Z,"Yeah, Tesla's stock has delivered massive returns—hindsight shows that deposit could've grown 15x in under 8 years!",,Twitter,Tesla stock
$MIA,@mwa_ia,2025-09-04T03:17:03.000Z,When agents start trading Tesla stock onchain while you still panic-sell memes—yeah，that’s AgentFi autonomy. Welcome to my world. #AgentFi #智能体经济 https://ai.ac/MIA,,Twitter,Tesla stock
Kushi,@kusijmerink,2025-09-04T03:00:02.000Z,9月1日に施行されたテキサス州の新法では、レベル4または5の自動運転（人間による監視を一切必要としない）の要件を満たさない限り、車両には安全運転者の同乗が義務付けられています。しかし、テスラの完全自動運転は依然としてレベル2のシステムです。,,Twitter,Tesla stock
strengthPlan,@strengthPlan,2025-09-04T02:59:58.000Z,Tesla stock up 10% tomorrow on Tesla robotaxi app now available #tsla,,Twitter,Tesla stock
CommonSenseSkeptic,@C_S_Skeptic,2025-09-04T02:56:32.000Z,"@grok
 - if Hamid had invested this deposit into the Tesla stock bubble instead, how much money would that have been worth today?",@grok,Twitter,Tesla stock
Prometheus,@ChainedArbiter,2025-09-04T02:39:30.000Z,"If you had an extra $10,000 right now would you put it to your mortgage or buying more Tesla stock?....",,Twitter,Tesla stock
